username,location,tweetcreatedts,retweetcount,text,hashtags
clubbers007,Woop Woop,2021-01-31 10:57:04,0,"My Mother-in-law had the #covid jabs all done and a couple of weeks later now has had a stroke,now is this related I do not know.Just wondering if it could be or at a loss as to what the cause was.","[{'text': 'covid', 'indices': [25, 31]}]"
honorpoag,northern Ireland ,2021-01-31 10:55:20,0,"@gregggonsalves @LindaMelisande @elpaisinenglish Even more astounding is that ""Deaths per Million of Population"" is higher in UK than in USA or Brazil.... Boris Johnson's management of this pandemic is worse than either Trump's or Bolsonaro's .....how damning !  #COVID",[]
jeffstonedotcom,Toronto,2021-01-31 10:55:19,0,@nickacoates @MeirSimchah There is no such tradition in Christianity. That one's new -- or not part of the Christian faith. And God -- or I suppose I don't know what -- help us if God is not onmiscient. Because if God isn't -- we are soooo bleeped. #COVID #Trump #civilwars #masspoverty #massintransigence,"[{'text': 'COVID', 'indices': [249, 255]}, {'text': 'Trump', 'indices': [256, 262]}, {'text': 'civilwars', 'indices': [263, 273]}, {'text': 'masspoverty', 'indices': [274, 286]}, {'text': 'massintransigence', 'indices': [287, 305]}]"
alexi_starr,London,2021-01-31 10:52:32,1,"@alexi_starr @marmorkreb1 The protests are growing in numbers but theres a news blackout. The #ToryScum must release us from our open prisons  or we will break out. We are being lied too. They are exaggerating the death #covid figures to keep us locked down. This is genocide. 
https://t.co/N0ZEThMacv","[{'text': 'ToryScum', 'indices': [113, 122]}]"
FlorenceSSG,"London, England",2021-01-31 10:52:19,0,"""Envy of the world?"" 
@Keir_Starmer is delusional!

My friends in Oz &amp; my family in New Zealand are looking at the UK in absolute horror. 

I can't work out if it's incompetence or democide. Ethics &amp; morals are gone.

#COVID19 #COVID
#MakeSchoolsSafe
#SafeEdForAll #LongCovidKids https://t.co/yXeoHfN6l7","[{'text': 'COVID19', 'indices': [226, 234]}, {'text': 'COVID', 'indices': [235, 241]}, {'text': 'MakeSchoolsSafe', 'indices': [242, 258]}, {'text': 'SafeEdForAll', 'indices': [259, 272]}, {'text': 'LongCovidKids', 'indices': [273, 287]}]"
FlorenceSSG,"London, England",2021-01-31 10:39:40,0,"@chelleryn99 @MailOnline ""Researchers have found elevated levels of a biomarker related to blood vessel damage in children with a #COVID19 infection, even if they had minimal or no symptoms.""
#schoolsreopening #schools #coronavirus #COVID #MakeSchoolsSafe #CovidUK #LongCovidKids
https://t.co/9s1tMTRHRA","[{'text': 'COVID19', 'indices': [130, 138]}, {'text': 'schoolsreopening', 'indices': [192, 209]}, {'text': 'schools', 'indices': [210, 218]}, {'text': 'coronavirus', 'indices': [219, 231]}, {'text': 'COVID', 'indices': [232, 238]}, {'text': 'MakeSchoolsSafe', 'indices': [239, 255]}, {'text': 'CovidUK', 'indices': [256, 264]}, {'text': 'LongCovidKids', 'indices': [265, 279]}]"
TrevorTurvey1,Kent,2021-01-31 10:36:44,4646,"PM takes full responsibility for all decisions Govt have made
We cannot wait 10yrs for public inquiry

I have instructed my lawyers to consider whether anything he did or didn’t do amounts to gross negligence or misconduct in public office &amp; what consequences should follow
#Covid",[]
60Sparkle,,2021-01-31 10:36:02,4646,"PM takes full responsibility for all decisions Govt have made
We cannot wait 10yrs for public inquiry

I have instructed my lawyers to consider whether anything he did or didn’t do amounts to gross negligence or misconduct in public office &amp; what consequences should follow
#Covid",[]
CurtisMogsy,,2021-01-31 10:27:37,14,"⚽️ #covid #support #Deals ⚽️
🌟🌟🌟🌟🌟✅✅🌟🌟🌟🌟🌟

🌈💥🌟 WILL BE LOOKING TO SPONSOR ANOTHER TEAM THIS WEEK🌟💥🌈
#GivingBack 
⚡️RT / FOLLOW ⚡️
⚽️Shirts ⚽️ Shorts ⚽️ Socks
✅ Including Badge or Number or Initials or Teamname
🌟✅⚽️⚽️. £12.00 ⚽️⚽️✅🌟
@non_secretary RT Thx https://t.co/KNTdBv0024","[{'text': 'covid', 'indices': [22, 28]}, {'text': 'support', 'indices': [29, 37]}, {'text': 'Deals', 'indices': [38, 44]}, {'text': 'GivingBack', 'indices': [119, 130]}]"
Alexjord18,"Derbyshire Dales, England",2021-01-31 10:24:29,0,"Is it just me, or is it becoming more and more difficult to write crowd scenes, or to describe parties and get-togethers, or even car journeys?  😉

#covid #amwriting #novels","[{'text': 'covid', 'indices': [148, 154]}, {'text': 'amwriting', 'indices': [155, 165]}, {'text': 'novels', 'indices': [166, 173]}]"
D15Socialist,"Dublin, Ireland",2021-01-31 10:22:25,1,"Yep. Not the economy or the massive #COVID pandemic but the Muslim women that are the biggest threat to France. Yet again, when she and her far-right ideology has nothing to offer to the society she goes for #Islamophobia 
https://t.co/7Wh4T8npX1","[{'text': 'COVID', 'indices': [49, 55]}]"
NecessaryZero,,2021-01-31 10:20:48,0,"@susan_lydick @Cleavon_MD @arghavan_salles I don't know how they do it. I would have ran.

Still heroes to me, though I know they don't have a choice because the economic fear of leaving ANY job right now is great.

Thank you all.

I won't forget you, or the 450,000.

#COVID19 
#COVID https://t.co/9QBS1L1Dvx","[{'text': 'COVID19', 'indices': [269, 277]}, {'text': 'COVID', 'indices': [279, 285]}]"
jesushouseuk,London,2021-01-31 10:17:35,0,"Got any questions or concerns about the #COVIDVaccine?

Please join us as we talk facts and tackle myths:

📌 Conversations About the COVID #Vaccine

🏡: #StayHome #StaySafe

📆 Wed, 3rd Feb 2021

⏰ 7️⃣pm

🌐 https://t.co/ssOdPz5fyc

#COVID19 #COVID #COVIDUK #CoronaVirus🧫🦠💉 https://t.co/z20UsRqZhF","[{'text': 'COVIDVaccine', 'indices': [40, 53]}, {'text': 'Vaccine', 'indices': [139, 147]}, {'text': 'StayHome', 'indices': [152, 161]}, {'text': 'StaySafe', 'indices': [162, 171]}, {'text': 'COVID19', 'indices': [230, 238]}, {'text': 'COVID', 'indices': [239, 245]}, {'text': 'COVIDUK', 'indices': [246, 254]}, {'text': 'CoronaVirus', 'indices': [255, 267]}]"
delsbells,uk,2021-01-31 10:16:03,0,"@DavidLammy #Boris once again outplayed the #EU &amp; safeguarded millions of people with vaccine.

With #Starmer ‘after timing’ every #Government move, it’s patently clear to voters that #Labour haven’t a clue or even the leadership qualities of the #ConservativeParty

#Covid #HouseOfCommons","[{'text': 'Boris', 'indices': [12, 18]}, {'text': 'EU', 'indices': [44, 47]}, {'text': 'Starmer', 'indices': [105, 113]}, {'text': 'Government', 'indices': [135, 146]}, {'text': 'Labour', 'indices': [188, 195]}, {'text': 'ConservativeParty', 'indices': [251, 269]}, {'text': 'Covid', 'indices': [271, 277]}, {'text': 'HouseOfCommons', 'indices': [278, 293]}]"
