,link_title,channel,no_of_views,time_uploaded,comment,upvotes,no_contract,comments_str,tokenized,lower,no_punct,no_stopwords,pos_tags,wordnet_pos,lemmatized
0,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","I swear, whoever is playing Plague Inc needs to stop it😤😒",486,"['I', 'swear,', 'whoever', 'is', 'playing', 'Plague', 'Inc', 'needs', 'to', 'stop', 'it😤😒']","I swear, whoever is playing Plague Inc needs to stop it😤😒","['I', 'swear', ',', 'whoever', 'is', 'playing', 'Plague', 'Inc', 'needs', 'to', 'stop', 'it😤😒']","['i', 'swear', ',', 'whoever', 'is', 'playing', 'plague', 'inc', 'needs', 'to', 'stop', 'it😤😒']","['i', 'swear', 'whoever', 'is', 'playing', 'plague', 'inc', 'needs', 'to', 'stop', 'it😤😒']","['swear', 'whoever', 'playing', 'plague', 'inc', 'needs', 'stop', 'it😤😒']","[('swear', 'JJ'), ('whoever', 'WP'), ('playing', 'VBG'), ('plague', 'NN'), ('inc', 'NN'), ('needs', 'VBZ'), ('stop', 'JJ'), ('it😤😒', 'NN')]","[('swear', 'a'), ('whoever', 'n'), ('playing', 'v'), ('plague', 'n'), ('inc', 'n'), ('needs', 'v'), ('stop', 'a'), ('it😤😒', 'n')]","['swear', 'whoever', 'play', 'plague', 'inc', 'need', 'stop', 'it😤😒']"
1,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021",I am getting real tired of being part of  major historical events.,426,"['I', 'am', 'getting', 'real', 'tired', 'of', 'being', 'part', 'of', 'major', 'historical', 'events.']",I am getting real tired of being part of major historical events.,"['I', 'am', 'getting', 'real', 'tired', 'of', 'being', 'part', 'of', 'major', 'historical', 'events', '.']","['i', 'am', 'getting', 'real', 'tired', 'of', 'being', 'part', 'of', 'major', 'historical', 'events', '.']","['i', 'am', 'getting', 'real', 'tired', 'of', 'being', 'part', 'of', 'major', 'historical', 'events']","['getting', 'real', 'tired', 'part', 'major', 'historical', 'events']","[('getting', 'VBG'), ('real', 'JJ'), ('tired', 'JJ'), ('part', 'NN'), ('major', 'JJ'), ('historical', 'JJ'), ('events', 'NNS')]","[('getting', 'v'), ('real', 'a'), ('tired', 'a'), ('part', 'n'), ('major', 'a'), ('historical', 'a'), ('events', 'n')]","['get', 'real', 'tired', 'part', 'major', 'historical', 'event']"
2,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","This channel's COVID reports are a model of how science reporting should be done.  Matter-of-fact, presenting the details, noting the limits of the studies involved, and including crucial background knowledge.",797,"['This', ""channel's"", 'COVID', 'reports', 'are', 'a', 'model', 'of', 'how', 'science', 'reporting', 'should', 'be', 'done.', 'Matter-of-fact,', 'presenting', 'the', 'details,', 'noting', 'the', 'limits', 'of', 'the', 'studies', 'involved,', 'and', 'including', 'crucial', 'background', 'knowledge.']","This channel's COVID reports are a model of how science reporting should be done. Matter-of-fact, presenting the details, noting the limits of the studies involved, and including crucial background knowledge.","['This', 'channel', ""'s"", 'COVID', 'reports', 'are', 'a', 'model', 'of', 'how', 'science', 'reporting', 'should', 'be', 'done', '.', 'Matter-of-fact', ',', 'presenting', 'the', 'details', ',', 'noting', 'the', 'limits', 'of', 'the', 'studies', 'involved', ',', 'and', 'including', 'crucial', 'background', 'knowledge', '.']","['this', 'channel', ""'s"", 'covid', 'reports', 'are', 'a', 'model', 'of', 'how', 'science', 'reporting', 'should', 'be', 'done', '.', 'matter-of-fact', ',', 'presenting', 'the', 'details', ',', 'noting', 'the', 'limits', 'of', 'the', 'studies', 'involved', ',', 'and', 'including', 'crucial', 'background', 'knowledge', '.']","['this', 'channel', ""'s"", 'covid', 'reports', 'are', 'a', 'model', 'of', 'how', 'science', 'reporting', 'should', 'be', 'done', 'matter-of-fact', 'presenting', 'the', 'details', 'noting', 'the', 'limits', 'of', 'the', 'studies', 'involved', 'and', 'including', 'crucial', 'background', 'knowledge']","['channel', ""'s"", 'covid', 'reports', 'model', 'science', 'reporting', 'done', 'matter-of-fact', 'presenting', 'details', 'noting', 'limits', 'studies', 'involved', 'including', 'crucial', 'background', 'knowledge']","[('channel', 'NN'), (""'s"", 'POS'), ('covid', 'NN'), ('reports', 'NNS'), ('model', 'NN'), ('science', 'NN'), ('reporting', 'VBG'), ('done', 'VBN'), ('matter-of-fact', 'JJ'), ('presenting', 'NN'), ('details', 'NNS'), ('noting', 'VBG'), ('limits', 'NNS'), ('studies', 'NNS'), ('involved', 'VBD'), ('including', 'VBG'), ('crucial', 'JJ'), ('background', 'NN'), ('knowledge', 'NN')]","[('channel', 'n'), (""'s"", 'n'), ('covid', 'n'), ('reports', 'n'), ('model', 'n'), ('science', 'n'), ('reporting', 'v'), ('done', 'v'), ('matter-of-fact', 'a'), ('presenting', 'n'), ('details', 'n'), ('noting', 'v'), ('limits', 'n'), ('studies', 'n'), ('involved', 'v'), ('including', 'v'), ('crucial', 'a'), ('background', 'n'), ('knowledge', 'n')]","['channel', ""'s"", 'covid', 'report', 'model', 'science', 'report', 'do', 'matter-of-fact', 'presenting', 'detail', 'note', 'limit', 'study', 'involve', 'include', 'crucial', 'background', 'knowledge']"
3,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","To people who understand science, the development of these vaccines in so short of a time frame is amazing.
To those who don't understand science, it just sounds like people are making up new rules as they go along.",105,"['To', 'people', 'who', 'understand', 'science,', 'the', 'development', 'of', 'these', 'vaccines', 'in', 'so', 'short', 'of', 'a', 'time', 'frame', 'is', 'amazing.', 'To', 'those', 'who', 'do not', 'understand', 'science,', 'it', 'just', 'sounds', 'like', 'people', 'are', 'making', 'up', 'new', 'rules', 'as', 'they', 'go', 'along.']","To people who understand science, the development of these vaccines in so short of a time frame is amazing. To those who do not understand science, it just sounds like people are making up new rules as they go along.","['To', 'people', 'who', 'understand', 'science', ',', 'the', 'development', 'of', 'these', 'vaccines', 'in', 'so', 'short', 'of', 'a', 'time', 'frame', 'is', 'amazing', '.', 'To', 'those', 'who', 'do', 'not', 'understand', 'science', ',', 'it', 'just', 'sounds', 'like', 'people', 'are', 'making', 'up', 'new', 'rules', 'as', 'they', 'go', 'along', '.']","['to', 'people', 'who', 'understand', 'science', ',', 'the', 'development', 'of', 'these', 'vaccines', 'in', 'so', 'short', 'of', 'a', 'time', 'frame', 'is', 'amazing', '.', 'to', 'those', 'who', 'do', 'not', 'understand', 'science', ',', 'it', 'just', 'sounds', 'like', 'people', 'are', 'making', 'up', 'new', 'rules', 'as', 'they', 'go', 'along', '.']","['to', 'people', 'who', 'understand', 'science', 'the', 'development', 'of', 'these', 'vaccines', 'in', 'so', 'short', 'of', 'a', 'time', 'frame', 'is', 'amazing', 'to', 'those', 'who', 'do', 'not', 'understand', 'science', 'it', 'just', 'sounds', 'like', 'people', 'are', 'making', 'up', 'new', 'rules', 'as', 'they', 'go', 'along']","['people', 'understand', 'science', 'development', 'vaccines', 'short', 'time', 'frame', 'amazing', 'understand', 'science', 'sounds', 'like', 'people', 'making', 'new', 'rules', 'go', 'along']","[('people', 'NNS'), ('understand', 'VBP'), ('science', 'NN'), ('development', 'NN'), ('vaccines', 'NNS'), ('short', 'JJ'), ('time', 'NN'), ('frame', 'JJ'), ('amazing', 'JJ'), ('understand', 'NN'), ('science', 'NN'), ('sounds', 'VBZ'), ('like', 'IN'), ('people', 'NNS'), ('making', 'VBG'), ('new', 'JJ'), ('rules', 'NNS'), ('go', 'VBP'), ('along', 'RB')]","[('people', 'n'), ('understand', 'v'), ('science', 'n'), ('development', 'n'), ('vaccines', 'n'), ('short', 'a'), ('time', 'n'), ('frame', 'a'), ('amazing', 'a'), ('understand', 'n'), ('science', 'n'), ('sounds', 'v'), ('like', 'n'), ('people', 'n'), ('making', 'v'), ('new', 'a'), ('rules', 'n'), ('go', 'v'), ('along', 'n')]","['people', 'understand', 'science', 'development', 'vaccine', 'short', 'time', 'frame', 'amazing', 'understand', 'science', 'sound', 'like', 'people', 'make', 'new', 'rule', 'go', 'along']"
4,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","So with these new variants this whole thing feels like it will be fought like the flu, at least long term.",205,"['So', 'with', 'these', 'new', 'variants', 'this', 'whole', 'thing', 'feels', 'like', 'it', 'will', 'be', 'fought', 'like', 'the', 'flu,', 'at', 'least', 'long', 'term.']","So with these new variants this whole thing feels like it will be fought like the flu, at least long term.","['So', 'with', 'these', 'new', 'variants', 'this', 'whole', 'thing', 'feels', 'like', 'it', 'will', 'be', 'fought', 'like', 'the', 'flu', ',', 'at', 'least', 'long', 'term', '.']","['so', 'with', 'these', 'new', 'variants', 'this', 'whole', 'thing', 'feels', 'like', 'it', 'will', 'be', 'fought', 'like', 'the', 'flu', ',', 'at', 'least', 'long', 'term', '.']","['so', 'with', 'these', 'new', 'variants', 'this', 'whole', 'thing', 'feels', 'like', 'it', 'will', 'be', 'fought', 'like', 'the', 'flu', 'at', 'least', 'long', 'term']","['new', 'variants', 'whole', 'thing', 'feels', 'like', 'fought', 'like', 'flu', 'least', 'long', 'term']","[('new', 'JJ'), ('variants', 'NNS'), ('whole', 'JJ'), ('thing', 'NN'), ('feels', 'NNS'), ('like', 'IN'), ('fought', 'NN'), ('like', 'IN'), ('flu', 'NNS'), ('least', 'JJS'), ('long', 'JJ'), ('term', 'NN')]","[('new', 'a'), ('variants', 'n'), ('whole', 'a'), ('thing', 'n'), ('feels', 'n'), ('like', 'n'), ('fought', 'n'), ('like', 'n'), ('flu', 'n'), ('least', 'a'), ('long', 'a'), ('term', 'n')]","['new', 'variant', 'whole', 'thing', 'feel', 'like', 'fought', 'like', 'flu', 'least', 'long', 'term']"
5,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021",I'm just gonna live under a rock until this blows over...,81,"['I am', 'just', 'going to', 'live', 'under', 'a', 'rock', 'until', 'this', 'blows', 'over...']",I am just going to live under a rock until this blows over...,"['I', 'am', 'just', 'going', 'to', 'live', 'under', 'a', 'rock', 'until', 'this', 'blows', 'over', '...']","['i', 'am', 'just', 'going', 'to', 'live', 'under', 'a', 'rock', 'until', 'this', 'blows', 'over', '...']","['i', 'am', 'just', 'going', 'to', 'live', 'under', 'a', 'rock', 'until', 'this', 'blows', 'over', '...']","['going', 'live', 'rock', 'blows', '...']","[('going', 'VBG'), ('live', 'JJ'), ('rock', 'NN'), ('blows', 'NNS'), ('...', ':')]","[('going', 'v'), ('live', 'a'), ('rock', 'n'), ('blows', 'n'), ('...', 'n')]","['go', 'live', 'rock', 'blow', '...']"
6,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","""is that a thing that people do?""
No, not really",58,"['""is', 'that', 'a', 'thing', 'that', 'people', 'do?""', 'No,', 'not', 'really']","""is that a thing that people do?"" No, not really","['``', 'is', 'that', 'a', 'thing', 'that', 'people', 'do', '?', ""''"", 'No', ',', 'not', 'really']","['``', 'is', 'that', 'a', 'thing', 'that', 'people', 'do', '?', ""''"", 'no', ',', 'not', 'really']","['``', 'is', 'that', 'a', 'thing', 'that', 'people', 'do', ""''"", 'no', 'not', 'really']","['``', 'thing', 'people', ""''"", 'really']","[('``', '``'), ('thing', 'NN'), ('people', 'NNS'), (""''"", ""''""), ('really', 'RB')]","[('``', 'n'), ('thing', 'n'), ('people', 'n'), (""''"", 'n'), ('really', 'n')]","['``', 'thing', 'people', ""''"", 'really']"
7,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021",Can you make a video on the new vaccine results from Novavax and Johnson and Johnson and how they’re different from the current approved ones?,171,"['Can', 'you', 'make', 'a', 'video', 'on', 'the', 'new', 'vaccine', 'results', 'from', 'Novavax', 'and', 'Johnson', 'and', 'Johnson', 'and', 'how', 'they are', 'different', 'from', 'the', 'current', 'approved', 'ones?']",Can you make a video on the new vaccine results from Novavax and Johnson and Johnson and how they are different from the current approved ones?,"['Can', 'you', 'make', 'a', 'video', 'on', 'the', 'new', 'vaccine', 'results', 'from', 'Novavax', 'and', 'Johnson', 'and', 'Johnson', 'and', 'how', 'they', 'are', 'different', 'from', 'the', 'current', 'approved', 'ones', '?']","['can', 'you', 'make', 'a', 'video', 'on', 'the', 'new', 'vaccine', 'results', 'from', 'novavax', 'and', 'johnson', 'and', 'johnson', 'and', 'how', 'they', 'are', 'different', 'from', 'the', 'current', 'approved', 'ones', '?']","['can', 'you', 'make', 'a', 'video', 'on', 'the', 'new', 'vaccine', 'results', 'from', 'novavax', 'and', 'johnson', 'and', 'johnson', 'and', 'how', 'they', 'are', 'different', 'from', 'the', 'current', 'approved', 'ones']","['make', 'video', 'new', 'vaccine', 'results', 'novavax', 'johnson', 'johnson', 'different', 'current', 'approved', 'ones']","[('make', 'VB'), ('video', 'JJ'), ('new', 'JJ'), ('vaccine', 'NN'), ('results', 'NNS'), ('novavax', 'JJ'), ('johnson', 'JJ'), ('johnson', 'NN'), ('different', 'JJ'), ('current', 'JJ'), ('approved', 'VBN'), ('ones', 'NNS')]","[('make', 'v'), ('video', 'a'), ('new', 'a'), ('vaccine', 'n'), ('results', 'n'), ('novavax', 'a'), ('johnson', 'a'), ('johnson', 'n'), ('different', 'a'), ('current', 'a'), ('approved', 'v'), ('ones', 'n')]","['make', 'video', 'new', 'vaccine', 'result', 'novavax', 'johnson', 'johnson', 'different', 'current', 'approve', 'one']"
8,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","Man
“The sooner we can end this pandemic”
That phrase was so refreshing
In a year of lockdown you really start to feel like it’s never gonna end",44,"['Man', '“The', 'sooner', 'we', 'can', 'end', 'this', 'pandemic”', 'That', 'phrase', 'was', 'so', 'refreshing', 'In', 'a', 'year', 'of', 'lockdown', 'you', 'really', 'start', 'to', 'feel', 'like', 'it is', 'never', 'going to', 'end']",Man “The sooner we can end this pandemic” That phrase was so refreshing In a year of lockdown you really start to feel like it is never going to end,"['Man', '“', 'The', 'sooner', 'we', 'can', 'end', 'this', 'pandemic', '”', 'That', 'phrase', 'was', 'so', 'refreshing', 'In', 'a', 'year', 'of', 'lockdown', 'you', 'really', 'start', 'to', 'feel', 'like', 'it', 'is', 'never', 'going', 'to', 'end']","['man', '“', 'the', 'sooner', 'we', 'can', 'end', 'this', 'pandemic', '”', 'that', 'phrase', 'was', 'so', 'refreshing', 'in', 'a', 'year', 'of', 'lockdown', 'you', 'really', 'start', 'to', 'feel', 'like', 'it', 'is', 'never', 'going', 'to', 'end']","['man', '“', 'the', 'sooner', 'we', 'can', 'end', 'this', 'pandemic', '”', 'that', 'phrase', 'was', 'so', 'refreshing', 'in', 'a', 'year', 'of', 'lockdown', 'you', 'really', 'start', 'to', 'feel', 'like', 'it', 'is', 'never', 'going', 'to', 'end']","['man', '“', 'sooner', 'end', 'pandemic', '”', 'phrase', 'refreshing', 'year', 'lockdown', 'really', 'start', 'feel', 'like', 'never', 'going', 'end']","[('man', 'NN'), ('“', 'VBZ'), ('sooner', 'JJ'), ('end', 'NN'), ('pandemic', 'JJ'), ('”', 'JJ'), ('phrase', 'NN'), ('refreshing', 'VBG'), ('year', 'NN'), ('lockdown', 'VBN'), ('really', 'RB'), ('start', 'VB'), ('feel', 'NN'), ('like', 'IN'), ('never', 'RB'), ('going', 'VBG'), ('end', 'NN')]","[('man', 'n'), ('“', 'v'), ('sooner', 'a'), ('end', 'n'), ('pandemic', 'a'), ('”', 'a'), ('phrase', 'n'), ('refreshing', 'v'), ('year', 'n'), ('lockdown', 'v'), ('really', 'n'), ('start', 'v'), ('feel', 'n'), ('like', 'n'), ('never', 'n'), ('going', 'v'), ('end', 'n')]","['man', '“', 'sooner', 'end', 'pandemic', '”', 'phrase', 'refresh', 'year', 'lockdown', 'really', 'start', 'feel', 'like', 'never', 'go', 'end']"
9,We Know More About Those COVID-19 Variants. It's Not Great | SciShow News,SciShow,"85,566 views","Jan 30, 2021","After watching this and the GameStop video on  vlogbrothers, I’ve come to the conclusion, that you are my most trusted news source. Congratulations on earning my trust.",35,"['After', 'watching', 'this', 'and', 'the', 'GameStop', 'video', 'on', 'vlogbrothers,', 'I have', 'come', 'to', 'the', 'conclusion,', 'that', 'you', 'are', 'my', 'most', 'trusted', 'news', 'source.', 'Congratulations', 'on', 'earning', 'my', 'trust.']","After watching this and the GameStop video on vlogbrothers, I have come to the conclusion, that you are my most trusted news source. Congratulations on earning my trust.","['After', 'watching', 'this', 'and', 'the', 'GameStop', 'video', 'on', 'vlogbrothers', ',', 'I', 'have', 'come', 'to', 'the', 'conclusion', ',', 'that', 'you', 'are', 'my', 'most', 'trusted', 'news', 'source', '.', 'Congratulations', 'on', 'earning', 'my', 'trust', '.']","['after', 'watching', 'this', 'and', 'the', 'gamestop', 'video', 'on', 'vlogbrothers', ',', 'i', 'have', 'come', 'to', 'the', 'conclusion', ',', 'that', 'you', 'are', 'my', 'most', 'trusted', 'news', 'source', '.', 'congratulations', 'on', 'earning', 'my', 'trust', '.']","['after', 'watching', 'this', 'and', 'the', 'gamestop', 'video', 'on', 'vlogbrothers', 'i', 'have', 'come', 'to', 'the', 'conclusion', 'that', 'you', 'are', 'my', 'most', 'trusted', 'news', 'source', 'congratulations', 'on', 'earning', 'my', 'trust']","['watching', 'gamestop', 'video', 'vlogbrothers', 'come', 'conclusion', 'trusted', 'news', 'source', 'congratulations', 'earning', 'trust']","[('watching', 'VBG'), ('gamestop', 'JJ'), ('video', 'NN'), ('vlogbrothers', 'NNS'), ('come', 'VBP'), ('conclusion', 'NN'), ('trusted', 'VBN'), ('news', 'NN'), ('source', 'NN'), ('congratulations', 'NNS'), ('earning', 'VBG'), ('trust', 'NN')]","[('watching', 'v'), ('gamestop', 'a'), ('video', 'n'), ('vlogbrothers', 'n'), ('come', 'v'), ('conclusion', 'n'), ('trusted', 'v'), ('news', 'n'), ('source', 'n'), ('congratulations', 'n'), ('earning', 'v'), ('trust', 'n')]","['watch', 'gamestop', 'video', 'vlogbrothers', 'come', 'conclusion', 'trust', 'news', 'source', 'congratulation', 'earn', 'trust']"
